date,Viaggi,isPartial
2017-12-17,56,False
2017-12-24,63,False
2017-12-31,63,False
2018-01-07,68,False
2018-01-14,71,False
2018-01-21,70,False
2018-01-28,71,False
2018-02-04,68,False
2018-02-11,67,False
2018-02-18,72,False
2018-02-25,63,False
2018-03-04,65,False
2018-03-11,72,False
2018-03-18,66,False
2018-03-25,66,False
2018-04-01,70,False
2018-04-08,73,False
2018-04-15,63,False
2018-04-22,73,False
2018-04-29,66,False
2018-05-06,71,False
2018-05-13,61,False
2018-05-20,69,False
2018-05-27,67,False
2018-06-03,72,False
2018-06-10,76,False
2018-06-17,76,False
2018-06-24,80,False
2018-07-01,84,False
2018-07-08,89,False
2018-07-15,89,False
2018-07-22,94,False
2018-07-29,92,False
2018-08-05,88,False
2018-08-12,74,False
2018-08-19,69,False
2018-08-26,66,False
2018-09-02,68,False
2018-09-09,63,False
2018-09-16,60,False
2018-09-23,52,False
2018-09-30,58,False
2018-10-07,58,False
2018-10-14,59,False
2018-10-21,58,False
2018-10-28,60,False
2018-11-04,56,False
2018-11-11,58,False
2018-11-18,61,False
2018-11-25,58,False
2018-12-02,59,False
2018-12-09,56,False
2018-12-16,48,False
2018-12-23,55,False
2018-12-30,68,False
2019-01-06,73,False
2019-01-13,69,False
2019-01-20,66,False
2019-01-27,70,False
2019-02-03,68,False
2019-02-10,67,False
2019-02-17,68,False
2019-02-24,79,False
2019-03-03,73,False
2019-03-10,70,False
2019-03-17,70,False
2019-03-24,84,False
2019-03-31,69,False
2019-04-07,66,False
2019-04-14,66,False
2019-04-21,66,False
2019-04-28,72,False
2019-05-05,69,False
2019-05-12,61,False
2019-05-19,55,False
2019-05-26,59,False
2019-06-02,74,False
2019-06-09,77,False
2019-06-16,90,False
2019-06-23,78,False
2019-06-30,87,False
2019-07-07,88,False
2019-07-14,83,False
2019-07-21,90,False
2019-07-28,90,False
2019-08-04,100,False
2019-08-11,82,False
2019-08-18,0,False
2019-08-25,0,False
2019-09-01,0,False
2019-09-08,0,False
2019-09-15,0,False
2019-09-22,0,False
2019-09-29,0,False
2019-10-06,0,False
2019-10-13,0,False
2019-10-20,0,False
2019-10-27,0,False
2019-11-03,0,False
2019-11-10,0,False
2019-11-17,0,False
2019-11-24,0,False
2019-12-01,0,False
2019-12-08,0,False
2019-12-15,0,False
2019-12-22,0,False
2019-12-29,0,False
2020-01-05,0,False
2020-01-12,0,False
2020-01-19,0,False
2020-01-26,0,False
2020-02-02,0,False
2020-02-09,0,False
2020-02-16,0,False
2020-02-23,0,False
2020-03-01,0,False
2020-03-08,0,False
2020-03-15,0,False
2020-03-22,0,False
2020-03-29,0,False
2020-04-05,0,False
2020-04-12,0,False
2020-04-19,0,False
2020-04-26,0,False
2020-05-03,0,False
2020-05-10,0,False
2020-05-17,0,False
2020-05-24,0,False
2020-05-31,0,False
2020-06-07,0,False
2020-06-14,0,False
2020-06-21,0,False
2020-06-28,0,False
2020-07-05,0,False
2020-07-12,0,False
2020-07-19,0,False
2020-07-26,0,False
2020-08-02,0,False
2020-08-09,0,False
2020-08-16,0,False
2020-08-23,0,False
2020-08-30,0,False
2020-09-06,0,False
2020-09-13,0,False
2020-09-20,0,False
2020-09-27,0,False
2020-10-04,0,False
2020-10-11,0,False
2020-10-18,0,False
2020-10-25,0,False
2020-11-01,0,False
2020-11-08,0,False
2020-11-15,0,False
2020-11-22,0,False
2020-11-29,0,False
2020-12-06,0,False
2020-12-13,0,False
2020-12-20,0,False
2020-12-27,0,False
2021-01-03,0,False
2021-01-10,0,False
2021-01-17,0,False
2021-01-24,0,False
2021-01-31,0,False
2021-02-07,0,False
2021-02-14,0,False
2021-02-21,0,False
2021-02-28,0,False
2021-03-07,0,False
2021-03-14,0,False
2021-03-21,0,False
2021-03-28,0,False
2021-04-04,0,False
2021-04-11,0,False
2021-04-18,39,False
2021-04-25,36,False
2021-05-02,42,False
2021-05-09,50,False
2021-05-16,58,False
2021-05-23,58,False
2021-05-30,66,False
2021-06-06,61,False
2021-06-13,69,False
2021-06-20,68,False
2021-06-27,67,False
2021-07-04,67,False
2021-07-11,63,False
2021-07-18,62,False
2021-07-25,65,False
2021-08-01,59,False
2021-08-08,64,False
2021-08-15,57,False
2021-08-22,49,False
2021-08-29,56,False
2021-09-05,46,False
2021-09-12,41,False
2021-09-19,40,False
2021-09-26,45,False
2021-10-03,45,False
2021-10-10,47,False
2021-10-17,44,False
2021-10-24,43,False
2021-10-31,45,False
2021-11-07,42,False
2021-11-14,38,False
2021-11-21,37,False
2021-11-28,37,False
2021-12-05,36,False
2021-12-12,42,False
2021-12-19,33,False
2021-12-26,34,False
2022-01-02,34,False
2022-01-09,33,False
2022-01-16,34,False
2022-01-23,40,False
2022-01-30,48,False
2022-02-06,52,False
2022-02-13,50,False
2022-02-20,49,False
2022-02-27,47,False
2022-03-06,46,False
2022-03-13,46,False
2022-03-20,54,False
2022-03-27,62,False
2022-04-03,63,False
2022-04-10,58,False
2022-04-17,72,False
2022-04-24,72,False
2022-05-01,76,False
2022-05-08,74,False
2022-05-15,76,False
2022-05-22,79,False
2022-05-29,81,False
2022-06-05,91,False
2022-06-12,90,False
2022-06-19,84,False
2022-06-26,86,False
2022-07-03,78,False
2022-07-10,80,False
2022-07-17,74,False
2022-07-24,77,False
2022-07-31,86,False
2022-08-07,73,False
2022-08-14,68,False
2022-08-21,71,False
2022-08-28,63,False
2022-09-04,54,False
2022-09-11,50,False
2022-09-18,50,False
2022-09-25,48,False
2022-10-02,46,False
2022-10-09,45,False
2022-10-16,50,False
2022-10-23,50,False
2022-10-30,50,False
2022-11-06,46,False
2022-11-13,49,False
2022-11-20,46,False
2022-11-27,51,False
2022-12-04,51,True
